[06/04/2020 15:15:41 - INFO - __main__ - 323] reading data/run1.B1phi1.i1.seqwish.w100.json...
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1652
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1651
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 682
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 678
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 27
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 26
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 25
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 24
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 23
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 22
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2012
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1416
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2165
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 241
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2170
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2166
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2163
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1346
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 247
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1464
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1463
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1433
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1432
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1455
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1431
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1181
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1779
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 306
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1400
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1379
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1774
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1378
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1462
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1885
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1884
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1883
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1454
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 248
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 215
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1415
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1414
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1953
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1882
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1345
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1344
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1343
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2156
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1677
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1676
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1471
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1469
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1424
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 478
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 2057
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1468
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1160
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1332
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 139
[06/04/2020 15:15:41 - INFO - matrixcomponent.JSONparser - 27] reading 1465
